date,kpi_name,kpi_value
2022-01-01,revenue,246447.1365
2022-01-01,gross_margin,66179.74649999998
2022-01-01,orders,15.0
2022-01-01,active_customers,15.0
2022-01-01,units_sold,45.0
2022-01-01,aov,16429.8091
2022-01-02,revenue,191342.084
2022-01-02,gross_margin,44961.12400000001
2022-01-02,orders,18.0
2022-01-02,active_customers,18.0
2022-01-02,units_sold,49.0
2022-01-02,aov,10630.115777777777
2022-01-03,revenue,365972.7275
2022-01-03,gross_margin,80810.1975
2022-01-03,orders,19.0
2022-01-03,active_customers,19.0
2022-01-03,units_sold,58.0
2022-01-03,aov,19261.7225
2022-01-04,revenue,200785.998
2022-01-04,gross_margin,50961.70799999999
2022-01-04,orders,14.0
2022-01-04,active_customers,14.0
2022-01-04,units_sold,34.0
2022-01-04,aov,14341.857
2022-01-05,revenue,368855.65
2022-01-05,gross_margin,103373.03
2022-01-05,orders,16.0
2022-01-05,active_customers,16.0
2022-01-05,units_sold,56.0
2022-01-05,aov,23053.478125
2022-01-06,revenue,289167.89149999997
2022-01-06,gross_margin,69276.0815
2022-01-06,orders,19.0
2022-01-06,active_customers,19.0
2022-01-06,units_sold,60.0
2022-01-06,aov,15219.362710526315
2022-01-07,revenue,338511.4385
2022-01-07,gross_margin,88754.64849999997
2022-01-07,orders,24.0
2022-01-07,active_customers,23.0
2022-01-07,units_sold,67.0
2022-01-07,aov,14104.643270833332
2022-01-08,revenue,476292.902
2022-01-08,gross_margin,131648.06199999998
2022-01-08,orders,25.0
2022-01-08,active_customers,24.0
2022-01-08,units_sold,78.0
2022-01-08,aov,19051.71608
2022-01-09,revenue,263741.84349999996
2022-01-09,gross_margin,67670.46349999998
2022-01-09,orders,18.0
2022-01-09,active_customers,18.0
2022-01-09,units_sold,60.0
2022-01-09,aov,14652.324638888887
2022-01-10,revenue,277344.294
2022-01-10,gross_margin,61312.494
2022-01-10,orders,17.0
2022-01-10,active_customers,17.0
2022-01-10,units_sold,54.0
2022-01-10,aov,16314.370235294118
2022-01-11,revenue,199731.24
2022-01-11,gross_margin,44051.479999999996
2022-01-11,orders,17.0
2022-01-11,active_customers,16.0
2022-01-11,units_sold,42.0
2022-01-11,aov,11748.896470588235
2022-01-12,revenue,149975.23
2022-01-12,gross_margin,32474.99
2022-01-12,orders,18.0
2022-01-12,active_customers,18.0
2022-01-12,units_sold,44.0
2022-01-12,aov,8331.957222222223
2022-01-13,revenue,307894.002
2022-01-13,gross_margin,69651.332
2022-01-13,orders,18.0
2022-01-13,active_customers,17.0
2022-01-13,units_sold,61.0
2022-01-13,aov,17105.22233333333
2022-01-14,revenue,333319.392
2022-01-14,gross_margin,96071.562
2022-01-14,orders,17.0
2022-01-14,active_customers,17.0
2022-01-14,units_sold,46.0
2022-01-14,aov,19607.023058823528
2022-01-15,revenue,320231.003
2022-01-15,gross_margin,99642.493
2022-01-15,orders,19.0
2022-01-15,active_customers,19.0
2022-01-15,units_sold,63.0
2022-01-15,aov,16854.263315789474
2022-01-16,revenue,192189.4675
2022-01-16,gross_margin,46260.1275
2022-01-16,orders,13.0
2022-01-16,active_customers,13.0
2022-01-16,units_sold,39.0
2022-01-16,aov,14783.805192307693
2022-01-17,revenue,237951.5875
2022-01-17,gross_margin,37875.1475
2022-01-17,orders,10.0
2022-01-17,active_customers,10.0
2022-01-17,units_sold,39.0
2022-01-17,aov,23795.15875
2022-01-18,revenue,275096.4905
2022-01-18,gross_margin,72691.26050000002
2022-01-18,orders,19.0
2022-01-18,active_customers,19.0
2022-01-18,units_sold,52.0
2022-01-18,aov,14478.762657894738
2022-01-19,revenue,212067.106
2022-01-19,gross_margin,56369.266
2022-01-19,orders,9.0
2022-01-19,active_customers,9.0
2022-01-19,units_sold,35.0
2022-01-19,aov,23563.011777777778
2022-01-20,revenue,189275.1765
2022-01-20,gross_margin,42886.756499999996
2022-01-20,orders,12.0
2022-01-20,active_customers,12.0
2022-01-20,units_sold,39.0
2022-01-20,aov,15772.931375
2022-01-21,revenue,215353.7055
2022-01-21,gross_margin,62768.695499999994
2022-01-21,orders,15.0
2022-01-21,active_customers,15.0
2022-01-21,units_sold,36.0
2022-01-21,aov,14356.913700000001
2022-01-22,revenue,179229.0735
2022-01-22,gross_margin,48613.98349999999
2022-01-22,orders,13.0
2022-01-22,active_customers,13.0
2022-01-22,units_sold,44.0
2022-01-22,aov,13786.851807692308
2022-01-23,revenue,111883.4405
2022-01-23,gross_margin,25352.360499999995
2022-01-23,orders,9.0
2022-01-23,active_customers,9.0
2022-01-23,units_sold,25.0
2022-01-23,aov,12431.493388888888
2022-01-24,revenue,209570.03350000002
2022-01-24,gross_margin,39872.1635
2022-01-24,orders,13.0
2022-01-24,active_customers,13.0
2022-01-24,units_sold,35.0
2022-01-24,aov,16120.771807692308
2022-01-25,revenue,298405.7895
2022-01-25,gross_margin,65085.4695
2022-01-25,orders,18.0
2022-01-25,active_customers,17.0
2022-01-25,units_sold,63.0
2022-01-25,aov,16578.099416666668
2022-01-26,revenue,269226.839
2022-01-26,gross_margin,68214.83899999999
2022-01-26,orders,13.0
2022-01-26,active_customers,13.0
2022-01-26,units_sold,35.0
2022-01-26,aov,20709.756846153843
2022-01-27,revenue,184437.76
2022-01-27,gross_margin,45405.63000000001
2022-01-27,orders,12.0
2022-01-27,active_customers,12.0
2022-01-27,units_sold,37.0
2022-01-27,aov,15369.813333333334
2022-01-28,revenue,197257.8645
2022-01-28,gross_margin,47106.684499999996
2022-01-28,orders,18.0
2022-01-28,active_customers,18.0
2022-01-28,units_sold,52.0
2022-01-28,aov,10958.77025
2022-01-29,revenue,256504.55
2022-01-29,gross_margin,70441.59999999999
2022-01-29,orders,12.0
2022-01-29,active_customers,12.0
2022-01-29,units_sold,40.0
2022-01-29,aov,21375.379166666666
2022-01-30,revenue,219596.992
2022-01-30,gross_margin,62849.04199999999
2022-01-30,orders,12.0
2022-01-30,active_customers,12.0
2022-01-30,units_sold,35.0
2022-01-30,aov,18299.749333333333
2022-01-31,revenue,249494.312
2022-01-31,gross_margin,67342.52200000001
2022-01-31,orders,18.0
2022-01-31,active_customers,18.0
2022-01-31,units_sold,50.0
2022-01-31,aov,13860.79511111111
2022-02-01,revenue,292654.74950000003
2022-02-01,gross_margin,71404.1495
2022-02-01,orders,14.0
2022-02-01,active_customers,14.0
2022-02-01,units_sold,39.0
2022-02-01,aov,20903.910678571432
2022-02-02,revenue,96344.41100000001
2022-02-02,gross_margin,24848.041
2022-02-02,orders,13.0
2022-02-02,active_customers,13.0
2022-02-02,units_sold,34.0
2022-02-02,aov,7411.108538461539
2022-02-03,revenue,264448.257
2022-02-03,gross_margin,73330.197
2022-02-03,orders,20.0
2022-02-03,active_customers,19.0
2022-02-03,units_sold,58.0
2022-02-03,aov,13222.412849999999
2022-02-04,revenue,608070.5255
2022-02-04,gross_margin,162102.35549999998
2022-02-04,orders,20.0
2022-02-04,active_customers,20.0
2022-02-04,units_sold,67.0
2022-02-04,aov,30403.526275
2022-02-05,revenue,255078.11200000002
2022-02-05,gross_margin,57093.03200000001
2022-02-05,orders,14.0
2022-02-05,active_customers,14.0
2022-02-05,units_sold,52.0
2022-02-05,aov,18219.865142857143
2022-02-06,revenue,136565.06900000002
2022-02-06,gross_margin,26496.449000000004
2022-02-06,orders,11.0
2022-02-06,active_customers,11.0
2022-02-06,units_sold,30.0
2022-02-06,aov,12415.006272727274
2022-02-07,revenue,275375.104
2022-02-07,gross_margin,64601.314000000006
2022-02-07,orders,12.0
2022-02-07,active_customers,12.0
2022-02-07,units_sold,41.0
2022-02-07,aov,22947.925333333333
2022-02-08,revenue,287661.32
2022-02-08,gross_margin,76904.13
