order_id,order_date,customer_id,product_id,region_id,quantity,revenue_gross,revenue_net,cogs,gross_margin,order_status,discount_amount
ORD-10001,2022-01-01,C00985,P00060,2,4,2529.56,2529.56,1652.84,876.72,Completed,0.0
ORD-10002,2022-01-01,C00903,P00108,4,2,11106.84,11106.84,8073.04,3033.8,Returned,0.0
ORD-10003,2022-01-01,C00205,P00120,2,2,30714.44,30714.44,23995.98,6718.459999999999,Completed,0.0
ORD-10004,2022-01-01,C00875,P00107,4,4,2748.72,2611.284,2110.88,500.40399999999954,Completed,137.4359999999997
ORD-10005,2022-01-01,C01172,P00007,1,2,3981.32,3782.254,2596.56,1185.694,Completed,199.06600000000026
ORD-10006,2022-01-01,C00896,P00149,2,2,35031.88,31528.692,25269.840000000004,6258.851999999995,Completed,3503.1879999999983
ORD-10007,2022-01-01,C00984,P00021,3,2,25956.12,25956.12,16565.28,9390.84,Completed,0.0
ORD-10008,2022-01-01,C00425,P00085,3,4,13207.08,13207.08,10162.92,3044.16,Completed,0.0
ORD-10009,2022-01-01,C00598,P00127,3,2,6684.24,6684.24,4843.14,1841.0999999999997,Completed,0.0
ORD-10010,2022-01-01,C00954,P00061,4,5,5034.2,4530.78,3737.25,793.5299999999997,Completed,503.4200000000001
ORD-10011,2022-01-01,C00198,P00017,4,2,8716.2,8716.2,7014.26,1701.9400000000005,Completed,0.0
ORD-10012,2022-01-01,C01081,P00005,4,2,6168.82,5860.378999999999,3937.34,1923.0389999999989,Completed,308.4410000000007
ORD-10013,2022-01-01,C01110,P00112,4,3,6215.849999999999,5905.057499999999,4105.74,1799.3174999999992,Completed,310.7925000000005
ORD-10014,2022-01-01,C00611,P00038,4,4,27723.16,27723.16,17865.72,9857.44,Completed,0.0
ORD-10015,2022-01-01,C00383,P00032,3,5,65591.04999999999,65591.04999999999,48336.6,17254.44999999999,Completed,0.0
ORD-10016,2022-01-02,C01001,P00079,2,4,591.68,532.512,447.24,85.27199999999993,Completed,59.168000000000006
ORD-10017,2022-01-02,C01068,P00113,1,2,20515.36,20515.36,14846.34,5669.02,Completed,0.0
ORD-10018,2022-01-02,C00379,P00006,3,4,10363.28,10363.28,7001.48,3361.800000000001,Completed,0.0
ORD-10019,2022-01-02,C00008,P00051,4,3,11770.95,11770.95,8961.869999999999,2809.0800000000017,Completed,0.0
ORD-10020,2022-01-02,C00238,P00085,4,1,3301.77,3301.77,2540.73,761.04,Completed,0.0
ORD-10021,2022-01-02,C00387,P00012,4,2,8965.3,8965.3,6362.5,2602.7999999999997,Completed,0.0
ORD-10022,2022-01-02,C01015,P00107,2,1,687.18,687.18,527.72,159.45999999999992,Completed,0.0
ORD-10023,2022-01-02,C00990,P00124,1,3,2615.55,2615.55,2103.48,512.0700000000002,Completed,0.0
ORD-10024,2022-01-02,C00814,P00032,2,1,13118.21,11806.389,9667.32,2139.0689999999995,Completed,1311.821
ORD-10025,2022-01-02,C00269,P00109,4,5,33153.6,31495.92,20854.25,10641.669999999998,Completed,1657.6800000000003
ORD-10026,2022-01-02,C00131,P00059,4,3,8684.94,8250.693,6062.82,2187.873,Completed,434.2470000000012
ORD-10027,2022-01-02,C00265,P00126,1,5,39845.7,31876.560000000005,28950.15,2926.410000000007,Completed,7969.139999999992
ORD-10028,2022-01-02,C00943,P00060,3,4,2529.56,2023.648,1652.84,370.8080000000002,Completed,505.91200000000003
ORD-10029,2022-01-02,C00986,P00131,3,4,18803.44,18803.44,15521.64,3281.7999999999997,Completed,0.0
ORD-10030,2022-01-02,C00338,P00034,3,1,7164.98,6806.730999999999,5418.81,1387.9209999999985,Completed,358.2490000000007
ORD-10031,2022-01-02,C00862,P00128,2,1,2605.46,2344.914,2120.19,224.72400000000016,Completed,260.5459999999998
ORD-10032,2022-01-02,C01090,P00033,2,4,17325.68,16459.396,11114.56,5344.836000000001,Returned,866.2839999999997
ORD-10033,2022-01-02,C00001,P00047,1,1,2865.78,2722.491,2227.02,495.471,Completed,143.28900000000021
ORD-10034,2022-01-03,C00949,P00047,2,5,14328.9,14328.9,11135.1,3193.800000000001,Completed,0.0
ORD-10035,2022-01-03,C00845,P00145,2,1,2680.37,2546.3515,2009.67,536.6814999999997,Completed,134.01849999999968
ORD-10036,2022-01-03,C00888,P00134,3,3,3990.72,3990.72,3070.83,919.8900000000004,Completed,0.0
ORD-10037,2022-01-03,C00596,P00072,4,3,44184.18,44184.18,35183.25,9000.93,Completed,0.0
ORD-10038,2022-01-03,C00662,P00014,2,2,36179.92,28943.936,24303.42,4640.516000000003,Completed,7235.983999999997
ORD-10039,2022-01-03,C00284,P00131,2,2,9401.72,8931.633999999998,7760.82,1170.8139999999985,Completed,470.08600000000115
ORD-10040,2022-01-03,C00633,P00063,4,1,7154.3,7154.3,5694.4800000000005,1459.8199999999997,Completed,0.0
ORD-10041,2022-01-03,C00936,P00142,3,5,11583.75,11583.75,7410.950000000001,4172.799999999999,Completed,0.0
ORD-10042,2022-01-03,C00821,P00120,3,4,61428.88,61428.88,47991.96,13436.919999999998,Completed,0.0
ORD-10043,2022-01-03,C00988,P00041,2,4,24314.24,24314.24,20158.2,4156.0400000000045,Completed,0.0
ORD-10044,2022-01-03,C00695,P00110,1,1,5221.8,4177.4400000000005,4315.14,-137.69999999999982,Completed,1044.3599999999997
ORD-10045,2022-01-03,C00494,P00012,1,3,13447.95,13447.95,9543.75,3904.199999999999,Completed,0.0
ORD-10046,2022-01-03,C01013,P00069,3,4,17376.32,17376.32,13989.28,3387.039999999999,Completed,0.0
ORD-10047,2022-01-03,C00728,P00068,2,3,39328.38,35395.542,28426.590000000004,6968.9519999999975,Completed,3932.837999999996
ORD-10048,2022-01-03,C00174,P00087,3,4,24460.44,19568.352,16429.68,3138.6719999999987,Returned,4892.088
ORD-10049,2022-01-03,C00232,P00026,4,4,9678.0,9678.0,7300.4,2377.6000000000004,Completed,0.0
ORD-10050,2022-01-03,C00179,P00038,4,4,27723.16,26337.002,17865.72,8471.282,Cancelled,1386.1579999999994
ORD-10051,2022-01-03,C00579,P00028,1,4,30675.52,30675.52,21318.84,9356.68,Completed,0.0
ORD-10052,2022-01-03,C01111,P00091,2,1,1909.71,1909.71,1254.45,655.26,Completed,0.0
ORD-10053,2022-01-04,C00362,P00006,1,2,5181.64,4145.312000000001,3500.74,644.572000000001,Completed,1036.3279999999995
ORD-10054,2022-01-04,C00142,P00109,1,1,6630.72,6299.184,4170.85,2128.334,Returned,331.53600000000006
ORD-10055,2022-01-04,C00998,P00056,2,1,1076.12,1076.12,884.1600000000001,191.9599999999998,Completed,0.0
ORD-10056,2022-01-04,C00865,P00136,1,3,33660.899999999994,30294.809999999998,22919.85,7374.959999999992,Completed,3366.0899999999965
ORD-10057,2022-01-04,C00382,P00062,2,2,10247.7,10247.7,8037.56,2210.1400000000003,Completed,0.0
ORD-10058,2022-01-04,C00819,P00049,3,1,5780.77,5202.693,3970.0,1232.6930000000002,Completed,578.0770000000002
ORD-10059,2022-01-04,C00907,P00039,2,5,9617.75,9136.8625,7527.0,1609.8624999999993,Completed,480.8875000000007
ORD-10060,2022-01-04,C00584,P00001,4,4,80865.4,76822.12999999999,56078.88,20743.249999999996,Completed,4043.270000000004
ORD-10061,2022-01-04,C00602,P00109,3,4,26522.88,25196.736,16683.4,8513.336,Cancelled,1326.1440000000002
ORD-10062,2022-01-04,C01005,P00008,4,1,2194.51,2084.7845,1480.18,604.6045000000001,Returned,109.72550000000001
ORD-10063,2022-01-04,C00990,P00084,1,2,1514.62,1514.62,1148.46,366.1599999999999,Completed,0.0
ORD-10064,2022-01-04,C01137,P00147,4,4,12709.16,12709.16,10056.6,2652.5599999999995,Completed,0.0
ORD-10065,2022-01-04,C00959,P00143,2,1,5356.17,4284.936000000001,4404.74,-119.80399999999918,Completed,1071.2339999999995
ORD-10066,2022-01-04,C00910,P00051,1,3,11770.95,11770.95,8961.869999999999,2809.0800000000017,Completed,0.0
ORD-10067,2022-01-05,C00296,P00002,2,5,50732.9,50732.9,36872.55,13860.35,Completed,0.0
ORD-10068,2022-01-05,C00986,P00012,3,3,13447.95,13447.95,9543.75,3904.199999999999,Completed,0.0
ORD-10069,2022-01-05,C00921,P00062,3,1,5123.85,5123.85,4018.78,1105.0700000000002,Cancelled,0.0
ORD-10070,2022-01-05,C00420,P00028,3,5,38344.4,36427.18,26648.55,9778.63,Completed,1917.2200000000012
ORD-10071,2022-01-05,C00195,P00122,2,4,88608.0,88608.0,57165.24,31442.76,Completed,0.0
ORD-10072,2022-01-05,C01142,P00063,2,3,21462.9,21462.9,17083.440000000002,4379.459999999999,Completed,0.0
ORD-10073,2022-01-05,C00421,P00034,3,4,28659.92,28659.92,21675.24,6984.679999999997,Completed,0.0
ORD-10074,2022-01-05,C00914,P00148,2,3,7874.219999999999,7874.219999999999,5685.66,2188.5599999999995,Completed,0.0
ORD-10075,2022-01-05,C00576,P00126,1,3,23907.42,23907.42,17370.09,6537.330000000002,Completed,0.0
ORD-10076,2022-01-05,C01055,P00116,1,4,14267.52,14267.52,10579.32,3688.2000000000007,Completed,0.0
ORD-10077,2022-01-05,C00557,P00069,2,3,13032.24,13032.24,10491.96,2540.279999999999,Completed,0.0
ORD-10078,2022-01-05,C00262,P00107,1,3,2061.54,2061.54,1583.16,478.3799999999999,Completed,0.0
ORD-10079,2022-01-05,C00125,P00030,1,2,14915.52,11932.416,9607.68,2324.736000000001,Completed,2983.104000000001
ORD-10080,2022-01-05,C00201,P00035,4,4,13542.28,10833.824,9223.44,1610.384,Completed,2708.456
ORD-10081,2022-01-05,C01008,P00059,4,4,11579.92,11579.92,8083.76,3496.16,Returned,0.0
ORD-10082,2022-01-05,C00821,P00049,3,5,28903.85,28903.85,19850.0,9053.850000000002,Completed,0.0
ORD-10083,2022-01-06,C00942,P00051,2,2,7847.3,7847.3,5974.58,1872.7200000000005,Completed,0.0
ORD-10084,2022-01-06,C00483,P00139,2,4,17167.88,17167.88,11154.6,6013.280000000001,Completed,0.0
ORD-10085,2022-01-06,C00104,P00017,3,3,13074.3,11766.87,10521.39,1245.4800000000014,Completed,1307.4299999999985
ORD-10086,2022-01-06,C00520,P00019,3,5,5604.349999999999,5324.132499999999,4367.200000000001,956.932499999998,Completed,280.21750000000065
ORD-10087,2022-01-06,C01115,P00118,2,3,20095.26,20095.26,13710.45,6384.810000000003,Completed,0.0
ORD-10088,2022-01-06,C00246,P00011,1,5,25066.75,25066.75,17878.15,7188.599999999999,Cancelled,0.0
ORD-10089,2022-01-06,C00558,P00005,1,1,3084.41,2930.1894999999995,1968.67,961.5194999999994,Completed,154.22050000000036
ORD-10090,2022-01-06,C00620,P00115,1,3,7994.400000000001,7994.400000000001,5838.450000000001,2155.95,Completed,0.0
ORD-10091,2022-01-06,C00407,P00102,1,3,19944.75,19944.75,13603.35,6341.4000000000015,Completed,0.0
ORD-10092,2022-01-06,C00772,P00082,1,4,1510.16,1359.144,957.32,401.824,Completed,151.01600000000008
ORD-10093,2022-01-06,C00337,P00073,1,4,9074.92,9074.92,6014.56,3060.36,Completed,0.0
ORD-10094,2022-01-06,C01037,P00147,1,3,9531.87,9531.87,7542.450000000001,1989.4199999999985,Completed,0.0
ORD-10095,2022-01-06,C00683,P00031,3,2,4282.66,4282.66,3201.34,1081.3199999999997,Returned,0.0
ORD-10096,2022-01-06,C00194,P00064,1,5,15913.35,15913.35,11942.05,3971.300000000001,Completed,0.0
ORD-10097,2022-01-06,C01187,P00030,2,1,7457.76,7084.872,4803.84,2281.032,Completed,372.8879999999999
ORD-10098,2022-01-06,C00025,P00113,1,3,30773.04,29234.388,22269.51,6964.877999999997,Returned,1538.6520000000019
ORD-10099,2022-01-06,C00201,P00141,4,5,54072.35,48665.115,39763.2,8901.914999999994,Completed,5407.235000000001
ORD-10100,2022-01-06,C00414,P00104,4,1,4114.81,3909.0695,3197.45,711.6195000000002,Completed,205.74050000000034
ORD-10101,2022-01-06,C00045,P00072,3,3,44184.18,41974.971,35183.25,6791.720999999998,Completed,2209.2090000000026
ORD-10102,2022-01-07,C00322,P00119,1,2,35779.92,33990.924,22396.74,11594.183999999996,Completed,1788.9959999999992
ORD-10103,2022-01-07,C00904,P00111,3,4,6483.64,5835.276000000001,4542.52,1292.7560000000003,Completed,648.3639999999996
ORD-10104,2022-01-07,C00321,P00055,2,3,19287.24,19287.24,12720.75,6566.489999999998,Completed,0.0
ORD-10105,2022-01-07,C00726,P00013,4,5,7175.05,7175.05,5318.099999999999,1856.9500000000007,Completed,0.0
ORD-10106,2022-01-07,C00660,P00032,2,2,26236.42,26236.42,19334.64,6901.779999999999,Completed,0.0
ORD-10107,2022-01-07,C00847,P00110,1,4,20887.2,20887.2,17260.56,3626.64,Completed,0.0
ORD-10108,2022-01-07,C00850,P00059,3,2,5789.96,5789.96,4041.88,1748.08,Completed,0.0
ORD-10109,2022-01-07,C00991,P00105,3,4,3873.48,3873.48,2789.52,1083.96,Completed,0.0
ORD-10110,2022-01-07,C00818,P00018,3,1,17013.05,17013.05,10902.42,6110.629999999999,Completed,0.0
ORD-10111,2022-01-07,C00633,P00121,4,5,32090.6,25672.48,21569.25,4103.23,Completed,6418.119999999999
ORD-10112,2022-01-07,C00141,P00100,2,2,16660.26,14994.234,10810.62,4183.613999999998,Completed,1666.025999999998
ORD-10113,2022-01-07,C00401,P00056,4,4,4304.48,4089.256,3536.6400000000003,552.6159999999991,Completed,215.2239999999997
ORD-10114,2022-01-07,C00951,P00060,3,3,1897.17,1707.4530000000002,1239.63,467.8230000000003,Completed,189.71699999999987
ORD-10115,2022-01-07,C00929,P00149,2,3,52547.81999999999,49920.42899999999,37904.76000000001,12015.66899999998,Completed,2627.3910000000033
ORD-10116,2022-01-07,C00979,P00025,4,1,18494.2,18494.2,12710.85,5783.35,Completed,0.0
ORD-10117,2022-01-07,C00871,P00145,2,5,13401.85,13401.85,10048.35,3353.499999999998,Completed,0.0
ORD-10118,2022-01-07,C00227,P00047,4,2,5731.56,5444.982,4454.04,990.942,Completed,286.57800000000043
ORD-10119,2022-01-07,C01124,P00013,1,2,2870.02,2870.02,2127.24,742.7800000000002,Completed,0.0
ORD-10120,2022-01-07,C01124,P00073,1,3,6806.1900000000005,6465.8805,4510.92,1954.9605,Completed,340.3095000000003
ORD-10121,2022-01-07,C01052,P00137,3,4,18953.72,18006.034,14118.04,3887.993999999999,Completed,947.6860000000015
ORD-10122,2022-01-07,C00235,P00028,1,1,7668.88,6901.992,5329.71,1572.2820000000002,Returned,766.8879999999999
ORD-10123,2022-01-07,C00053,P00118,1,2,13396.84,13396.84,9140.3,4256.540000000001,Completed,0.0
ORD-10124,2022-01-07,C00868,P00102,1,2,13296.5,13296.5,9068.9,4227.6,Completed,0.0
ORD-10125,2022-01-07,C00884,P00131,1,1,4700.86,3760.688,3880.41,-119.72199999999977,Cancelled,940.1719999999996
ORD-10126,2022-01-08,C00698,P00016,2,1,2949.54,2949.54,2118.13,831.4099999999999,Completed,0.0
