date,kpi_name,baseline_value,scenario_value,delta,delta_pct,scenario_name,scenario_id
2022-01-01,revenue,246447.1365,258769.49332500002,12322.356825000024,5.00000000000001,Conservative,S005
2022-01-01,gross_margin,66179.74649999998,70878.5085015,4698.762001500014,7.100000000000023,Conservative,S005
2022-01-01,orders,15.0,15.0,0.0,0.0,Conservative,S005
2022-01-01,active_customers,15.0,15.0,0.0,0.0,Conservative,S005
2022-01-01,units_sold,45.0,45.0,0.0,0.0,Conservative,S005
2022-01-01,aov,16429.8091,16429.8091,0.0,0.0,Conservative,S005
2022-01-02,revenue,191342.084,200909.1882,9567.104200000002,5.000000000000001,Conservative,S005
2022-01-02,gross_margin,44961.12400000001,48153.36380400001,3192.239803999997,7.0999999999999925,Conservative,S005
2022-01-02,orders,18.0,18.0,0.0,0.0,Conservative,S005
2022-01-02,active_customers,18.0,18.0,0.0,0.0,Conservative,S005
2022-01-02,units_sold,49.0,49.0,0.0,0.0,Conservative,S005
2022-01-02,aov,10630.115777777775,10630.115777777775,0.0,0.0,Conservative,S005
2022-01-03,revenue,365972.7275,384271.363875,18298.636375000002,5.000000000000001,Conservative,S005
2022-01-03,gross_margin,80810.1975,86547.7215225,5737.524022500002,7.100000000000002,Conservative,S005
2022-01-03,orders,19.0,19.0,0.0,0.0,Conservative,S005
2022-01-03,active_customers,19.0,19.0,0.0,0.0,Conservative,S005
2022-01-03,units_sold,58.0,58.0,0.0,0.0,Conservative,S005
2022-01-03,aov,19261.7225,19261.7225,0.0,0.0,Conservative,S005
2022-01-04,revenue,200785.998,210825.2979,10039.299900000013,5.000000000000006,Conservative,S005
2022-01-04,gross_margin,50961.70799999999,54579.989268,3618.281268000006,7.100000000000013,Conservative,S005
2022-01-04,orders,14.0,14.0,0.0,0.0,Conservative,S005
2022-01-04,active_customers,14.0,14.0,0.0,0.0,Conservative,S005
2022-01-04,units_sold,34.0,34.0,0.0,0.0,Conservative,S005
2022-01-04,aov,14341.857,14341.857,0.0,0.0,Conservative,S005
2022-01-05,revenue,368855.65,387298.43250000005,18442.78250000003,5.000000000000008,Conservative,S005
2022-01-05,gross_margin,103373.03,110712.51513000001,7339.4851300000155,7.100000000000015,Conservative,S005
2022-01-05,orders,16.0,16.0,0.0,0.0,Conservative,S005
2022-01-05,active_customers,16.0,16.0,0.0,0.0,Conservative,S005
2022-01-05,units_sold,56.0,56.0,0.0,0.0,Conservative,S005
2022-01-05,aov,23053.478125,23053.478125,0.0,0.0,Conservative,S005
2022-01-06,revenue,289167.8915,303626.28607500007,14458.394575000042,5.000000000000014,Conservative,S005
2022-01-06,gross_margin,69276.0815,74194.6832865,4918.601786500003,7.100000000000005,Conservative,S005
2022-01-06,orders,19.0,19.0,0.0,0.0,Conservative,S005
2022-01-06,active_customers,19.0,19.0,0.0,0.0,Conservative,S005
2022-01-06,units_sold,60.0,60.0,0.0,0.0,Conservative,S005
2022-01-06,aov,15219.362710526317,15219.362710526317,0.0,0.0,Conservative,S005
2022-01-07,revenue,338511.4385,355437.010425,16925.571924999997,4.999999999999999,Conservative,S005
2022-01-07,gross_margin,88754.64849999997,95056.22854349998,6301.580043500013,7.100000000000017,Conservative,S005
2022-01-07,orders,24.0,24.0,0.0,0.0,Conservative,S005
2022-01-07,active_customers,23.0,23.0,0.0,0.0,Conservative,S005
2022-01-07,units_sold,67.0,67.0,0.0,0.0,Conservative,S005
2022-01-07,aov,14104.643270833332,14104.643270833332,0.0,0.0,Conservative,S005
2022-01-08,revenue,476292.902,500107.5471,23814.645100000023,5.000000000000005,Conservative,S005
2022-01-08,gross_margin,131648.06199999998,140995.07440199997,9347.012401999993,7.099999999999997,Conservative,S005
2022-01-08,orders,25.0,25.0,0.0,0.0,Conservative,S005
2022-01-08,active_customers,24.0,24.0,0.0,0.0,Conservative,S005
2022-01-08,units_sold,78.0,78.0,0.0,0.0,Conservative,S005
