order_id,dispatch_date,delivery_date,carrier,delivery_cost,return_flag,delivery_time_days,sla_met,promise_days
ORD-10001,2023-01-03,2023-01-05,FedEx,8.11,0,2,1,5
ORD-10002,2023-01-02,2023-01-04,DHL,8.41,0,2,1,5
ORD-10003,2023-01-03,2023-01-05,UPS,10.66,0,2,1,5
ORD-10004,2023-01-01,2023-01-03,DHL,14.18,1,2,1,5
ORD-10005,2023-01-03,2023-01-05,UPS,6.86,0,2,1,5
ORD-10006,2023-01-03,2023-01-05,FedEx,12.67,0,2,1,5
ORD-10007,2023-01-01,2023-01-05,UPS,9.6,0,4,1,5
ORD-10008,2023-01-01,2023-01-05,FedEx,13.37,0,4,1,5
ORD-10009,2023-01-01,2023-01-04,UPS,8.1,0,3,1,5
ORD-10010,2023-01-03,2023-01-07,UPS,6.78,0,4,1,5
ORD-10011,2023-01-03,2023-01-07,FedEx,9.14,0,4,1,5
ORD-10012,2023-01-02,2023-01-05,UPS,6.77,0,3,1,5
ORD-10013,2023-01-02,2023-01-07,FedEx,7.65,0,5,1,5
ORD-10014,2023-01-02,2023-01-08,DHL,8.64,0,6,0,5
ORD-10015,2023-01-03,2023-01-08,DHL,13.3,0,5,1,5
ORD-10016,2023-01-01,2023-01-03,DHL,14.5,0,2,1,5
ORD-10017,2023-01-02,2023-01-05,FedEx,10.38,1,3,1,5
ORD-10018,2023-01-03,2023-01-08,DHL,8.47,0,5,1,5
ORD-10019,2023-01-02,2023-01-05,FedEx,8.42,0,3,1,5
ORD-10020,2023-01-04,2023-01-08,DHL,5.91,0,4,1,5
ORD-10021,2023-01-03,2023-01-06,DHL,9.68,0,3,1,5
ORD-10022,2023-01-02,2023-01-08,FedEx,11.58,0,6,0,5
ORD-10023,2023-01-03,2023-01-06,UPS,9.67,0,3,1,5
ORD-10024,2023-01-03,2023-01-09,FedEx,8.78,0,6,0,5
ORD-10025,2023-01-02,2023-01-06,UPS,12.01,0,4,1,5
ORD-10026,2023-01-03,2023-01-05,FedEx,6.59,0,2,1,5
ORD-10027,2023-01-03,2023-01-07,UPS,11.48,0,4,1,5
ORD-10028,2023-01-02,2023-01-06,FedEx,8.06,0,4,1,5
ORD-10029,2023-01-04,2023-01-07,FedEx,12.52,0,3,1,5
ORD-10030,2023-01-04,2023-01-09,DHL,10.94,0,5,1,5
ORD-10031,2023-01-03,2023-01-08,UPS,9.74,0,5,1,5
ORD-10032,2023-01-03,2023-01-07,DHL,11.01,0,4,1,5
ORD-10033,2023-01-04,2023-01-09,UPS,8.0,0,5,1,5
ORD-10034,2023-01-04,2023-01-06,DHL,9.21,0,2,1,5
ORD-10035,2023-01-04,2023-01-09,UPS,10.93,0,5,1,5
ORD-10036,2023-01-04,2023-01-07,FedEx,14.22,0,3,1,5
