date,product_id,opening_stock,restock_qty,sold_qty,closing_stock,stockout_flag,unit_cost,inventory_value,cogs,on_hand_qty,days_since_last_sale
2023-01-01,P00001,57,0,0,57,0,3440.14,196087.98,0.0,57,-726
2023-01-01,P00002,53,0,0,53,0,1259.97,66778.41,0.0,53,-727
2023-01-01,P00003,78,0,0,78,0,912.38,71165.64,0.0,78,-730
2023-01-01,P00004,90,0,3,87,0,811.12,70567.44,2433.36,87,-730
2023-01-01,P00005,95,0,3,92,0,502.64,46242.88,1507.92,92,-721
2023-01-01,P00006,53,0,0,53,0,405.25,21478.25,0.0,53,-730
2023-01-01,P00007,70,0,0,70,0,1830.66,128146.2,0.0,70,-730
2023-01-01,P00008,56,0,0,56,0,3018.56,169039.36,0.0,56,-730
2023-01-01,P00009,84,0,0,84,0,1667.07,140033.88,0.0,84,-720
2023-01-01,P00010,67,0,0,67,0,463.6,31061.2,0.0,67,-721
2023-01-01,P00011,62,0,0,62,0,2568.64,159255.68,0.0,62,-730
2023-01-01,P00012,91,0,0,91,0,2759.84,251145.44,0.0,91,-719
2023-01-01,P00013,89,0,0,89,0,1591.13,141610.57,0.0,89,-727
2023-01-01,P00014,97,0,2,95,0,1558.0,148010.0,3116.0,95,-725
2023-01-01,P00015,51,0,0,51,0,2016.06,102819.06,0.0,51,-706
2023-01-01,P00016,71,0,3,68,0,1216.09,82694.12,3648.27,68,-725
2023-01-01,P00017,93,0,0,93,0,2648.28,246290.04,0.0,93,-726
2023-01-01,P00018,70,0,0,70,0,1328.99,93029.3,0.0,70,-724
2023-01-01,P00019,95,0,5,90,0,322.92,29062.800000000003,1614.6,90,-724
2023-01-01,P00020,60,0,0,60,0,745.08,44704.8,0.0,60,-730
2023-01-01,P00021,87,0,0,87,0,602.22,52393.14,0.0,87,-728
2023-01-01,P00022,96,0,5,91,0,758.73,69044.43000000001,3793.65,91,-715
2023-01-01,P00023,73,0,0,73,0,604.8,44150.4,0.0,73,-723
2023-01-01,P00024,83,0,3,80,0,338.12,27049.6,1014.36,80,-727
2023-01-01,P00025,50,0,1,49,0,1739.53,85236.97,1739.53,49,-728
2023-01-01,P00026,92,0,0,92,0,1112.72,102370.24,0.0,92,-723
2023-01-01,P00027,75,0,2,73,0,1197.77,87437.20999999999,2395.54,73,-728
2023-01-01,P00028,76,0,0,76,0,3625.16,275512.16,0.0,76,-726
2023-01-01,P00029,92,0,0,92,0,1657.67,152505.64,0.0,92,-729
2023-01-01,P00030,92,0,0,92,0,778.75,71645.0,0.0,92,-726
2023-01-01,P00031,53,0,0,53,0,471.55,24992.15,0.0,53,-728
2023-01-01,P00032,54,0,0,54,0,386.3,20860.2,0.0,54,-714
2023-01-01,P00033,62,0,2,60,0,818.19,49091.4,1636.38,60,-726
2023-01-01,P00034,98,0,0,98,0,2216.38,217205.24,0.0,98,-722
