date,channel,spend,clicks,conversions,cac,new_customers_acquired
2023-01-01,Facebook,4159.33,56,2,2079.665,2
2023-01-01,Google,3824.49,51,1,3824.49,1
2023-01-01,Email,3407.11,63,1,3407.11,1
2023-01-01,Instagram,2131.69,61,1,2131.69,1
2023-01-02,Facebook,4764.51,80,1,4764.51,1
2023-01-02,Google,1119.04,42,1,1119.04,1
2023-01-02,Email,955.13,11,0,inf,0
2023-01-02,Instagram,4476.57,194,4,1119.1425,4
2023-01-03,Facebook,3948.38,129,3,1316.1266666666668,3
2023-01-03,Google,1230.11,14,0,inf,0
2023-01-03,Email,4140.7,124,3,1380.2333333333331,3
2023-01-03,Instagram,2348.86,31,0,inf,0
2023-01-04,Facebook,2498.89,58,2,1249.445,2
2023-01-04,Google,2520.18,40,0,inf,0
2023-01-04,Email,4138.81,71,3,1379.6033333333337,3
2023-01-04,Instagram,2155.28,22,1,2155.28,1
2023-01-05,Facebook,2577.56,60,1,2577.56,1
2023-01-05,Google,2873.57,29,1,2873.57,1
2023-01-05,Email,4105.67,132,2,2052.835,2
2023-01-05,Instagram,3385.31,37,1,3385.31,1
2023-01-06,Facebook,961.65,10,0,inf,0
2023-01-06,Google,1782.78,21,0,inf,0
2023-01-06,Email,4573.88,143,3,1524.6266666666668,3
2023-01-06,Instagram,4758.86,126,3,1586.2866666666666,3
2023-01-07,Facebook,2073.13,93,1,2073.13,1
2023-01-07,Google,2759.03,70,3,919.6766666666668,3
2023-01-07,Email,2187.11,98,4,546.7775,4
2023-01-07,Instagram,4276.29,59,2,2138.145,2
2023-01-08,Facebook,1119.2,26,1,1119.2,1
2023-01-08,Google,3632.32,116,4,908.08,4
2023-01-08,Email,2518.71,123,1,2518.71,1
2023-01-08,Instagram,1651.66,19,0,inf,0
2023-01-09,Facebook,3772.56,60,0,inf,0
2023-01-09,Google,1796.46,40,0,inf,0
2023-01-09,Email,2389.21,28,0,inf,0
2023-01-09,Instagram,998.86,10,0,inf,0
2023-01-10,Facebook,573.96,9,0,inf,0
2023-01-10,Google,1146.1,21,0,inf,0
2023-01-10,Email,1582.54,29,1,1582.54,1
2023-01-10,Instagram,885.26,9,0,inf,0
2023-01-11,Facebook,2867.27,47,2,1433.635,2
2023-01-11,Google,2993.68,58,1,2993.68,1
2023-01-11,Email,3360.52,34,0,inf,0
2023-01-11,Instagram,573.09,6,0,inf,0
2023-01-12,Facebook,3798.23,54,2,1899.115,2
2023-01-12,Google,3808.34,81,0,inf,0
2023-01-12,Email,2957.06,34,0,inf,0
