order_id,order_date,product_id,customer_id,order_value,quantity,fulfilled
ORD-10001,2022-01-01,P00060,C00985,2529.56,4,False
ORD-10002,2022-01-01,P00108,C00903,11106.84,2,False
ORD-10003,2022-01-01,P00120,C00205,30714.44,2,False
ORD-10004,2022-01-01,P00107,C00875,2611.284,4,False
ORD-10005,2022-01-01,P00007,C01172,3782.254,2,False
ORD-10006,2022-01-01,P00149,C00896,31528.692,2,False
ORD-10007,2022-01-01,P00021,C00984,25956.12,2,False
ORD-10008,2022-01-01,P00085,C00425,13207.08,4,False
ORD-10009,2022-01-01,P00127,C00598,6684.24,2,False
ORD-10010,2022-01-01,P00061,C00954,4530.78,5,False
ORD-10011,2022-01-01,P00017,C00198,8716.2,2,False
ORD-10012,2022-01-01,P00005,C01081,5860.378999999999,2,False
ORD-10013,2022-01-01,P00112,C01110,5905.057499999999,3,False
ORD-10014,2022-01-01,P00038,C00611,27723.16,4,False
ORD-10015,2022-01-01,P00032,C00383,65591.04999999999,5,False
ORD-10016,2022-01-02,P00079,C01001,532.512,4,False
ORD-10017,2022-01-02,P00113,C01068,20515.36,2,False
ORD-10018,2022-01-02,P00006,C00379,10363.28,4,False
ORD-10019,2022-01-02,P00051,C00008,11770.95,3,False
ORD-10020,2022-01-02,P00085,C00238,3301.77,1,False
ORD-10021,2022-01-02,P00012,C00387,8965.3,2,False
ORD-10022,2022-01-02,P00107,C01015,687.18,1,False
ORD-10023,2022-01-02,P00124,C00990,2615.55,3,False
ORD-10024,2022-01-02,P00032,C00814,11806.389,1,False
ORD-10025,2022-01-02,P00109,C00269,31495.92,5,False
ORD-10026,2022-01-02,P00059,C00131,8250.693,3,False
ORD-10027,2022-01-02,P00126,C00265,31876.560000000005,5,False
ORD-10028,2022-01-02,P00060,C00943,2023.648,4,False
ORD-10029,2022-01-02,P00131,C00986,18803.44,4,False
ORD-10030,2022-01-02,P00034,C00338,6806.730999999999,1,False
ORD-10031,2022-01-02,P00128,C00862,2344.914,1,False
ORD-10032,2022-01-02,P00033,C01090,16459.396,4,False
ORD-10033,2022-01-02,P00047,C00001,2722.491,1,False
ORD-10034,2022-01-03,P00047,C00949,14328.9,5,False
ORD-10035,2022-01-03,P00145,C00845,2546.3515,1,False
ORD-10036,2022-01-03,P00134,C00888,3990.72,3,False
ORD-10037,2022-01-03,P00072,C00596,44184.18,3,False
ORD-10038,2022-01-03,P00014,C00662,28943.936,2,False
ORD-10039,2022-01-03,P00131,C00284,8931.633999999998,2,False
ORD-10040,2022-01-03,P00063,C00633,7154.3,1,False
ORD-10041,2022-01-03,P00142,C00936,11583.75,5,False
ORD-10042,2022-01-03,P00120,C00821,61428.88,4,False
ORD-10043,2022-01-03,P00041,C00988,24314.24,4,False
ORD-10044,2022-01-03,P00110,C00695,4177.4400000000005,1,False
ORD-10045,2022-01-03,P00012,C00494,13447.95,3,False
ORD-10046,2022-01-03,P00069,C01013,17376.32,4,False
ORD-10047,2022-01-03,P00068,C00728,35395.542,3,False
ORD-10048,2022-01-03,P00087,C00174,19568.352,4,False
ORD-10049,2022-01-03,P00026,C00232,9678.0,4,False
ORD-10050,2022-01-03,P00038,C00179,26337.002,4,False
ORD-10051,2022-01-03,P00028,C00579,30675.52,4,False
ORD-10052,2022-01-03,P00091,C01111,1909.71,1,False
ORD-10053,2022-01-04,P00006,C00362,4145.312000000001,2,False
ORD-10054,2022-01-04,P00109,C00142,6299.184,1,False
ORD-10055,2022-01-04,P00056,C00998,1076.12,1,False
ORD-10056,2022-01-04,P00136,C00865,30294.809999999998,3,False
ORD-10057,2022-01-04,P00062,C00382,10247.7,2,False
ORD-10058,2022-01-04,P00049,C00819,5202.693,1,False
ORD-10059,2022-01-04,P00039,C00907,9136.8625,5,False
ORD-10060,2022-01-04,P00001,C00584,76822.12999999999,4,False
ORD-10061,2022-01-04,P00109,C00602,25196.736,4,False
ORD-10062,2022-01-04,P00008,C01005,2084.7845,1,False
ORD-10063,2022-01-04,P00084,C00990,1514.62,2,False
ORD-10064,2022-01-04,P00147,C01137,12709.16,4,False
ORD-10065,2022-01-04,P00143,C00959,4284.936000000001,1,False
ORD-10066,2022-01-04,P00051,C00910,11770.95,3,False
ORD-10067,2022-01-05,P00002,C00296,50732.9,5,False
ORD-10068,2022-01-05,P00012,C00986,13447.95,3,False
ORD-10069,2022-01-05,P00062,C00921,5123.85,1,False
ORD-10070,2022-01-05,P00028,C00420,36427.18,5,False
ORD-10071,2022-01-05,P00122,C00195,88608.0,4,False
ORD-10072,2022-01-05,P00063,C01142,21462.9,3,False
ORD-10073,2022-01-05,P00034,C00421,28659.92,4,False
ORD-10074,2022-01-05,P00148,C00914,7874.219999999999,3,False
ORD-10075,2022-01-05,P00126,C00576,23907.42,3,False
ORD-10076,2022-01-05,P00116,C01055,14267.52,4,False
