date,product_id,opening_stock,restock_qty,sold_qty,closing_stock,stockout_flag
2023-01-01,P00001,87,0,8,79,0
2023-01-01,P00002,55,0,1,54,0
2023-01-01,P00003,68,0,6,62,0
2023-01-01,P00004,64,0,6,58,0
2023-01-01,P00005,52,0,11,41,0
2023-01-01,P00006,80,0,1,79,0
2023-01-01,P00007,72,0,3,69,0
2023-01-01,P00008,65,0,4,61,0
2023-01-01,P00009,93,0,14,79,0
2023-01-01,P00010,90,0,4,86,0
2023-01-02,P00001,79,0,11,68,0
2023-01-02,P00002,54,0,8,46,0
2023-01-02,P00003,62,0,2,60,0
2023-01-02,P00004,58,0,0,58,0
2023-01-02,P00005,41,0,5,36,0
2023-01-02,P00006,79,0,4,75,0
2023-01-02,P00007,69,0,6,63,0
2023-01-02,P00008,61,0,2,59,0
2023-01-02,P00009,79,0,4,75,0
2023-01-02,P00010,86,0,9,77,0
2023-01-03,P00001,68,0,6,62,0
2023-01-03,P00002,46,0,7,39,0
2023-01-03,P00003,60,0,6,54,0
2023-01-03,P00004,58,0,3,55,0
2023-01-03,P00005,36,0,3,33,0
2023-01-03,P00006,75,0,4,71,0
2023-01-03,P00007,63,0,2,61,0
2023-01-03,P00008,59,0,6,53,0
2023-01-03,P00009,75,0,3,72,0
2023-01-03,P00010,77,0,2,75,0
2023-01-04,P00001,62,0,18,44,0
2023-01-04,P00002,39,0,3,36,0
2023-01-04,P00003,54,0,2,52,0
2023-01-04,P00004,55,0,8,47,0
2023-01-04,P00005,33,0,6,27,0
2023-01-04,P00006,71,0,5,66,0
2023-01-04,P00007,61,0,3,58,0
2023-01-04,P00008,53,0,19,34,0
2023-01-04,P00009,72,0,2,70,0
2023-01-04,P00010,75,0,4,71,0
2023-01-05,P00001,44,0,11,33,0
2023-01-05,P00002,36,0,3,33,0
2023-01-05,P00003,52,0,4,48,0
2023-01-05,P00004,47,0,1,46,0
2023-01-05,P00005,27,0,4,23,0
2023-01-05,P00006,66,0,8,58,0
2023-01-05,P00007,58,0,9,49,0
2023-01-05,P00008,34,0,9,25,0
2023-01-05,P00009,70,0,3,67,0
2023-01-05,P00010,71,0,1,70,0
2023-01-06,P00001,33,0,4,29,0
2023-01-06,P00002,33,0,10,23,0
2023-01-06,P00003,48,0,6,42,0
2023-01-06,P00004,46,0,4,42,0
2023-01-06,P00005,23,0,3,20,0
2023-01-06,P00006,58,0,3,55,0
2023-01-06,P00007,49,0,6,43,0
2023-01-06,P00008,25,0,3,22,0
2023-01-06,P00009,67,0,7,60,0
2023-01-06,P00010,70,0,4,66,0
2023-01-07,P00001,29,0,4,25,0
2023-01-07,P00002,23,0,11,12,0
2023-01-07,P00003,42,0,9,33,0
2023-01-07,P00004,42,0,9,33,0
2023-01-07,P00005,20,0,11,9,0
2023-01-07,P00006,55,0,2,53,0
2023-01-07,P00007,43,0,4,39,0
2023-01-07,P00008,22,0,14,8,0
2023-01-07,P00009,60,0,8,52,0
2023-01-07,P00010,66,0,4,62,0
2023-01-08,P00001,25,0,9,16,0
2023-01-08,P00002,12,100,5,107,0
2023-01-08,P00003,33,0,7,26,0
2023-01-08,P00004,33,0,8,25,0
2023-01-08,P00005,9,100,7,102,0
2023-01-08,P00006,53,0,0,53,0
2023-01-08,P00007,39,0,0,39,0
2023-01-08,P00008,8,100,3,105,0
2023-01-08,P00009,52,0,1,51,0
2023-01-08,P00010,62,0,7,55,0
2023-01-09,P00001,16,0,9,7,0
2023-01-09,P00002,107,0,6,101,0
2023-01-09,P00003,26,0,4,22,0
2023-01-09,P00004,25,0,8,17,0
2023-01-09,P00005,102,0,9,93,0
2023-01-09,P00006,53,0,11,42,0
2023-01-09,P00007,39,0,5,34,0
2023-01-09,P00008,105,0,10,95,0
2023-01-09,P00009,51,0,6,45,0
2023-01-09,P00010,55,0,6,49,0
2023-01-10,P00001,7,100,10,97,0
2023-01-10,P00002,101,0,13,88,0
2023-01-10,P00003,22,0,5,17,0
2023-01-10,P00004,17,0,9,8,0
2023-01-10,P00005,93,0,2,91,0
2023-01-10,P00006,42,0,9,33,0
2023-01-10,P00007,34,0,6,28,0
2023-01-10,P00008,95,0,1,94,0
2023-01-10,P00009,45,0,8,37,0
2023-01-10,P00010,49,0,8,41,0
2023-01-11,P00001,97,0,9,88,0
2023-01-11,P00002,88,0,3,85,0
2023-01-11,P00003,17,0,0,17,0
2023-01-11,P00004,8,100,1,107,0
2023-01-11,P00005,91,0,4,87,0
2023-01-11,P00006,33,0,1,32,0
2023-01-11,P00007,28,0,7,21,0
2023-01-11,P00008,94,0,7,87,0
2023-01-11,P00009,37,0,5,32,0
2023-01-11,P00010,41,0,5,36,0
2023-01-12,P00001,88,0,3,85,0
2023-01-12,P00002,85,0,6,79,0
2023-01-12,P00003,17,0,4,13,0
2023-01-12,P00004,107,0,11,96,0
2023-01-12,P00005,87,0,15,72,0
2023-01-12,P00006,32,0,10,22,0
