order_id,order_date,customer_id,product_id,units,discount_pct,status,delivery_date,channel
ORD-10001,2023-01-01,C00696,P00022,3,0.1,Completed,2023-01-05,Online
ORD-10002,2023-01-01,C00108,P00019,3,0.1,Completed,2023-01-04,Online
ORD-10003,2023-01-01,C00129,P00025,1,0.05,Completed,2023-01-05,Store
ORD-10004,2023-01-01,C00874,P00005,3,0.0,Returned,2023-01-03,Store
ORD-10005,2023-01-01,C00231,P00043,1,0.1,Completed,2023-01-05,Online
ORD-10006,2023-01-01,C00500,P00027,2,0.0,Completed,2023-01-05,Store
ORD-10007,2023-01-01,C01036,P00022,2,0.1,Completed,2023-01-05,Online
ORD-10008,2023-01-01,C01044,P00014,2,0.1,Completed,2023-01-05,Online
ORD-10009,2023-01-01,C01125,P00016,3,0.05,Completed,2023-01-04,Store
ORD-10010,2023-01-01,C00536,P00004,3,0.0,Completed,2023-01-07,Store
ORD-10011,2023-01-01,C00822,P00035,2,0.0,Completed,2023-01-07,Store
ORD-10012,2023-01-01,C00188,P00039,1,0.05,Completed,2023-01-05,Online
ORD-10013,2023-01-01,C00526,P00045,1,0.05,Completed,2023-01-07,Online
ORD-10014,2023-01-01,C00500,P00024,1,0.1,Completed,2023-01-08,Store
ORD-10015,2023-01-01,C00159,P00024,2,0.1,Completed,2023-01-08,Store
ORD-10016,2023-01-01,C00406,P00019,1,0.1,Completed,2023-01-03,Store
ORD-10017,2023-01-01,C00927,P00045,2,0.0,Returned,2023-01-05,Store
ORD-10018,2023-01-01,C00113,P00019,1,0.1,Completed,2023-01-08,Online
ORD-10019,2023-01-01,C00763,P00033,2,0.1,Completed,2023-01-05,Store
ORD-10020,2023-01-02,C00399,P00017,2,0.0,Completed,2023-01-08,Store
ORD-10021,2023-01-02,C00137,P00047,2,0.0,Completed,2023-01-06,Store
ORD-10022,2023-01-02,C00138,P00016,1,0.0,Completed,2023-01-08,Store
ORD-10023,2023-01-02,C00254,P00003,1,0.05,Completed,2023-01-06,Store
ORD-10024,2023-01-02,C00563,P00045,2,0.1,Completed,2023-01-09,Online
ORD-10025,2023-01-02,C00581,P00019,2,0.1,Completed,2023-01-06,Online
ORD-10026,2023-01-02,C00356,P00037,1,0.05,Completed,2023-01-05,Store
ORD-10027,2023-01-02,C00931,P00026,2,0.0,Completed,2023-01-07,Online
ORD-10028,2023-01-02,C00686,P00024,1,0.05,Completed,2023-01-06,Store
ORD-10029,2023-01-02,C00548,P00044,1,0.05,Completed,2023-01-07,Online
ORD-10030,2023-01-02,C00163,P00030,2,0.1,Completed,2023-01-09,Online
ORD-10031,2023-01-02,C00205,P00028,2,0.0,Completed,2023-01-08,Store
ORD-10032,2023-01-02,C00596,P00044,1,0.05,Completed,2023-01-07,Store
ORD-10033,2023-01-02,C01094,P00043,1,0.0,Completed,2023-01-09,Online
ORD-10034,2023-01-02,C01172,P00015,2,0.05,Completed,2023-01-06,Store
ORD-10035,2023-01-02,C00492,P00015,3,0.0,Completed,2023-01-09,Store
ORD-10036,2023-01-02,C01106,P00014,1,0.1,Completed,2023-01-07,Online
ORD-10037,2023-01-02,C00371,P00003,3,0.1,Completed,2023-01-10,Online
ORD-10038,2023-01-02,C00629,P00021,1,0.0,Completed,2023-01-05,Store
ORD-10039,2023-01-02,C00289,P00042,1,0.0,Completed,2023-01-06,Online
ORD-10040,2023-01-02,C00043,P00024,1,0.05,Completed,2023-01-08,Online
ORD-10041,2023-01-02,C00966,P00039,2,0.0,Completed,2023-01-05,Store
ORD-10042,2023-01-02,C00022,P00006,2,0.0,Completed,2023-01-07,Store
ORD-10043,2023-01-02,C00637,P00002,2,0.0,Completed,2023-01-07,Online
ORD-10044,2023-01-02,C00611,P00022,3,0.05,Completed,2023-01-08,Store
ORD-10045,2023-01-02,C00383,P00049,3,0.0,Completed,2023-01-07,Store
ORD-10046,2023-01-02,C00079,P00046,2,0.1,Completed,2023-01-09,Store
ORD-10047,2023-01-02,C00680,P00028,2,0.05,Completed,2023-01-07,Store
ORD-10048,2023-01-02,C01068,P00028,2,0.0,Completed,2023-01-07,Online
ORD-10049,2023-01-02,C00601,P00042,3,0.0,Completed,2023-01-06,Online
ORD-10050,2023-01-02,C00779,P00050,3,0.1,Completed,2023-01-07,Store
ORD-10051,2023-01-02,C00164,P00012,2,0.1,Completed,2023-01-09,Online
ORD-10052,2023-01-02,C00238,P00021,3,0.1,Completed,2023-01-06,Store
ORD-10053,2023-01-02,C00386,P00018,2,0.1,Completed,2023-01-06,Online
ORD-10054,2023-01-03,C00929,P00027,2,0.05,Completed,2023-01-06,Store
ORD-10055,2023-01-03,C00928,P00001,3,0.05,Completed,2023-01-07,Store
ORD-10056,2023-01-03,C00966,P00048,3,0.0,Completed,2023-01-06,Store
ORD-10057,2023-01-03,C01040,P00019,1,0.0,Completed,2023-01-06,Online
ORD-10058,2023-01-03,C00269,P00045,3,0.05,Completed,2023-01-09,Store
ORD-10059,2023-01-03,C00247,P00004,2,0.1,Returned,2023-01-07,Store
ORD-10060,2023-01-03,C00196,P00027,1,0.05,Completed,2023-01-06,Online
ORD-10061,2023-01-03,C00645,P00020,2,0.1,Completed,2023-01-06,Online
ORD-10062,2023-01-03,C00646,P00028,1,0.05,Completed,2023-01-08,Online
ORD-10063,2023-01-03,C00457,P00044,1,0.05,Completed,2023-01-07,Online
ORD-10064,2023-01-03,C00986,P00024,2,0.1,Completed,2023-01-06,Store
ORD-10065,2023-01-03,C00546,P00021,2,0.0,Completed,2023-01-10,Online
ORD-10066,2023-01-03,C00279,P00047,2,0.0,Completed,2023-01-09,Store
ORD-10067,2023-01-03,C00862,P00022,1,0.1,Completed,2023-01-09,Online
ORD-10068,2023-01-03,C00272,P00027,3,0.05,Completed,2023-01-09,Store
ORD-10069,2023-01-03,C00454,P00002,3,0.1,Completed,2023-01-09,Online
ORD-10070,2023-01-03,C00640,P00020,1,0.0,Completed,2023-01-10,Online
ORD-10071,2023-01-03,C00143,P00003,2,0.05,Completed,2023-01-08,Online
ORD-10072,2023-01-03,C00460,P00021,3,0.05,Completed,2023-01-07,Online
ORD-10073,2023-01-03,C00210,P00039,1,0.1,Completed,2023-01-11,Online
ORD-10074,2023-01-03,C00888,P00033,2,0.05,Completed,2023-01-10,Store
ORD-10075,2023-01-03,C00596,P00038,2,0.05,Completed,2023-01-06,Online
ORD-10076,2023-01-03,C00662,P00025,2,0.05,Cancelled,,Store
ORD-10077,2023-01-03,C00284,P00019,2,0.05,Cancelled,,Store
ORD-10078,2023-01-03,C00763,P00045,3,0.05,Completed,2023-01-09,Store
ORD-10079,2023-01-03,C00676,P00019,3,0.0,Completed,2023-01-08,Store
ORD-10080,2023-01-03,C00820,P00017,2,0.05,Completed,2023-01-09,Online
ORD-10081,2023-01-04,C00068,P00041,3,0.05,Completed,2023-01-07,Store
ORD-10082,2023-01-04,C01151,P00008,2,0.05,Completed,2023-01-08,Online
ORD-10083,2023-01-04,C00268,P00016,1,0.05,Completed,2023-01-08,Online
ORD-10084,2023-01-04,C00661,P00011,2,0.0,Completed,2023-01-07,Online
ORD-10085,2023-01-04,C01013,P00048,1,0.05,Completed,2023-01-07,Online
ORD-10086,2023-01-04,C00977,P00009,1,0.1,Completed,2023-01-09,Store
ORD-10087,2023-01-04,C00332,P00024,1,0.1,Completed,2023-01-09,Store
ORD-10088,2023-01-04,C00659,P00012,2,0.0,Completed,2023-01-12,Store
ORD-10089,2023-01-04,C00505,P00029,2,0.1,Completed,2023-01-09,Online
ORD-10090,2023-01-04,C00076,P00004,3,0.1,Completed,2023-01-08,Online
ORD-10091,2023-01-04,C00347,P00003,2,0.1,Completed,2023-01-08,Online
ORD-10092,2023-01-04,C00214,P00041,1,0.0,Completed,2023-01-10,Online
ORD-10093,2023-01-04,C00730,P00018,1,0.1,Completed,2023-01-10,Online
ORD-10094,2023-01-04,C00441,P00008,3,0.0,Completed,2023-01-09,Online
ORD-10095,2023-01-04,C00749,P00045,1,0.1,Completed,2023-01-10,Store
ORD-10096,2023-01-04,C00881,P00049,1,0.0,Completed,2023-01-12,Store
ORD-10097,2023-01-04,C00602,P00008,3,0.05,Completed,2023-01-08,Online
ORD-10098,2023-01-04,C00618,P00021,1,0.1,Completed,2023-01-09,Online
ORD-10099,2023-01-04,C00553,P00041,1,0.0,Completed,2023-01-08,Online
ORD-10100,2023-01-04,C00183,P00024,1,0.1,Completed,2023-01-11,Online
ORD-10101,2023-01-04,C00907,P00039,1,0.0,Completed,2023-01-09,Online
ORD-10102,2023-01-04,C00584,P00046,1,0.05,Completed,2023-01-09,Store
ORD-10103,2023-01-04,C00602,P00045,1,0.1,Completed,2023-01-10,Online
ORD-10104,2023-01-04,C00859,P00028,2,0.0,Completed,2023-01-07,Store
ORD-10105,2023-01-04,C00850,P00023,2,0.1,Completed,2023-01-10,Store
ORD-10106,2023-01-04,C00485,P00002,2,0.1,Completed,2023-01-11,Online
ORD-10107,2023-01-04,C00655,P00047,1,0.05,Completed,2023-01-11,Online
ORD-10108,2023-01-04,C00202,P00039,2,0.05,Completed,2023-01-11,Store
ORD-10109,2023-01-04,C00563,P00011,1,0.0,Completed,2023-01-09,Store
ORD-10110,2023-01-04,C01108,P00009,1,0.1,Completed,2023-01-10,Store
ORD-10111,2023-01-05,C00268,P00040,2,0.0,Completed,2023-01-10,Online
ORD-10112,2023-01-05,C00986,P00043,1,0.1,Completed,2023-01-13,Online
ORD-10113,2023-01-05,C00921,P00021,2,0.0,Completed,2023-01-12,Online
ORD-10114,2023-01-05,C01131,P00024,1,0.05,Completed,2023-01-11,Store
ORD-10115,2023-01-05,C01054,P00036,3,0.0,Completed,2023-01-11,Store
ORD-10116,2023-01-05,C01180,P00044,2,0.1,Completed,2023-01-11,Store
ORD-10117,2023-01-05,C00560,P00015,1,0.0,Completed,2023-01-12,Store
ORD-10118,2023-01-05,C00440,P00036,1,0.0,Completed,2023-01-12,Store
ORD-10119,2023-01-05,C00559,P00037,3,0.1,Completed,2023-01-12,Store
ORD-10120,2023-01-05,C01007,P00019,1,0.0,Completed,2023-01-07,Online
ORD-10121,2023-01-05,C00576,P00027,2,0.0,Completed,2023-01-11,Online
ORD-10122,2023-01-05,C00833,P00008,2,0.05,Completed,2023-01-12,Online
ORD-10123,2023-01-05,C00926,P00004,1,0.05,Completed,2023-01-10,Store
ORD-10124,2023-01-05,C01179,P00024,3,0.1,Completed,2023-01-10,Store
ORD-10125,2023-01-05,C00262,P00043,3,0.1,Completed,2023-01-11,Online
ORD-10126,2023-01-06,C00170,P00042,1,0.05,Completed,2023-01-10,Store
ORD-10127,2023-01-06,C00201,P00037,3,0.05,Completed,2023-01-11,Online
ORD-10128,2023-01-06,C00109,P00029,1,0.0,Completed,2023-01-09,Store
ORD-10129,2023-01-06,C00305,P00048,2,0.1,Completed,2023-01-12,Online
ORD-10130,2023-01-06,C00343,P00034,1,0.1,Completed,2023-01-08,Online
ORD-10131,2023-01-06,C00762,P00003,2,0.1,Completed,2023-01-12,Online
ORD-10132,2023-01-06,C00300,P00021,2,0.1,Completed,2023-01-12,Online
ORD-10133,2023-01-06,C00483,P00039,3,0.1,Completed,2023-01-14,Online
ORD-10134,2023-01-06,C00509,P00047,2,0.05,Completed,2023-01-13,Online
ORD-10135,2023-01-06,C00762,P00035,2,0.1,Completed,2023-01-11,Online
ORD-10136,2023-01-06,C00657,P00037,3,0.0,Completed,2023-01-09,Online
ORD-10137,2023-01-06,C01141,P00036,2,0.1,Completed,2023-01-14,Store
ORD-10138,2023-01-06,C00395,P00011,2,0.0,Completed,2023-01-13,Online
ORD-10139,2023-01-06,C00558,P00028,1,0.0,Completed,2023-01-11,Store
ORD-10140,2023-01-06,C00666,P00012,2,0.0,Completed,2023-01-11,Store
ORD-10141,2023-01-06,C01126,P00044,2,0.0,Completed,2023-01-10,Online
ORD-10142,2023-01-06,C00715,P00033,2,0.0,Completed,2023-01-12,Store
ORD-10143,2023-01-06,C00082,P00050,1,0.0,Completed,2023-01-14,Store
ORD-10144,2023-01-06,C00365,P00047,3,0.0,Completed,2023-01-11,Online
ORD-10145,2023-01-07,C00840,P00045,1,0.0,Completed,2023-01-13,Online
ORD-10146,2023-01-07,C00943,P00038,3,0.0,Completed,2023-01-12,Store
ORD-10147,2023-01-07,C00683,P00031,3,0.05,Completed,2023-01-09,Online
ORD-10148,2023-01-07,C00194,P00010,2,0.0,Completed,2023-01-14,Online
ORD-10149,2023-01-07,C01187,P00024,3,0.1,Completed,2023-01-12,Online
ORD-10150,2023-01-07,C00542,P00050,2,0.1,Completed,2023-01-13,Online
ORD-10151,2023-01-07,C00001,P00003,1,0.1,Completed,2023-01-11,Online
ORD-10152,2023-01-07,C00188,P00037,1,0.1,Completed,2023-01-11,Store
ORD-10153,2023-01-07,C00194,P00009,3,0.1,Completed,2023-01-11,Online
ORD-10154,2023-01-07,C00414,P00040,3,0.0,Completed,2023-01-14,Online
ORD-10155,2023-01-07,C00910,P00038,3,0.1,Completed,2023-01-10,Store
ORD-10156,2023-01-07,C00083,P00013,1,0.1,Completed,2023-01-10,Online
ORD-10157,2023-01-07,C00162,P00038,2,0.05,Completed,2023-01-11,Store
ORD-10158,2023-01-07,C01037,P00016,2,0.1,Completed,2023-01-11,Store
ORD-10159,2023-01-07,C00904,P00047,3,0.1,Completed,2023-01-11,Online
ORD-10160,2023-01-07,C00733,P00014,2,0.05,Completed,2023-01-11,Online
ORD-10161,2023-01-07,C00437,P00039,1,0.05,Completed,2023-01-13,Online
ORD-10162,2023-01-07,C00726,P00021,3,0.1,Completed,2023-01-13,Online
ORD-10163,2023-01-07,C01098,P00017,3,0.05,Completed,2023-01-10,Store
ORD-10164,2023-01-07,C01038,P00036,2,0.1,Completed,2023-01-10,Store
ORD-10165,2023-01-08,C00260,P00024,3,0.1,Completed,2023-01-13,Online
ORD-10166,2023-01-08,C00850,P00023,2,0.05,Completed,2023-01-14,Store
ORD-10167,2023-01-08,C00991,P00034,3,0.0,Completed,2023-01-15,Online
ORD-10168,2023-01-08,C00294,P00029,2,0.05,Completed,2023-01-13,Online
ORD-10169,2023-01-08,C00325,P00023,2,0.0,Completed,2023-01-13,Store
ORD-10170,2023-01-08,C00137,P00029,3,0.1,Completed,2023-01-14,Online
ORD-10171,2023-01-08,C01107,P00034,2,0.1,Completed,2023-01-12,Online
ORD-10172,2023-01-08,C00471,P00006,3,0.1,Completed,2023-01-16,Store
ORD-10173,2023-01-08,C00632,P00029,1,0.0,Cancelled,,Online
ORD-10174,2023-01-08,C00235,P00010,3,0.1,Completed,2023-01-12,Online
ORD-10175,2023-01-08,C00431,P00037,1,0.05,Completed,2023-01-15,Online
ORD-10176,2023-01-08,C00810,P00030,1,0.05,Completed,2023-01-13,Online
ORD-10177,2023-01-08,C00227,P00037,2,0.0,Returned,2023-01-13,Store
ORD-10178,2023-01-08,C00741,P00041,3,0.05,Completed,2023-01-12,Online
ORD-10179,2023-01-08,C00329,P00036,3,0.1,Completed,2023-01-11,Store
ORD-10180,2023-01-08,C01124,P00011,2,0.05,Completed,2023-01-12,Online
ORD-10181,2023-01-08,C00776,P00023,1,0.1,Completed,2023-01-14,Online
ORD-10182,2023-01-08,C00940,P00036,2,0.1,Completed,2023-01-14,Online
ORD-10183,2023-01-08,C00235,P00028,2,0.05,Completed,2023-01-12,Online
ORD-10184,2023-01-08,C00565,P00013,1,0.1,Completed,2023-01-12,Store
ORD-10185,2023-01-08,C01126,P00047,1,0.1,Completed,2023-01-12,Store
ORD-10186,2023-01-08,C01162,P00002,2,0.0,Completed,2023-01-16,Online
ORD-10187,2023-01-08,C00884,P00025,3,0.0,Completed,2023-01-15,Store
